episode,train_reward,avg_loss,eval_avg_reward,eval_win_rate,epsilon
50,-42.400,1.90151,-5.300,0.000,0.744
100,-40.700,0.63773,-5.300,0.000,0.477
150,-40.400,0.53002,-5.300,0.000,0.190
200,-37.900,0.23491,-6.400,0.000,0.050
250,-48.000,0.13376,-13.200,0.000,0.050
300,-39.700,0.06280,-10.900,0.000,0.050
350,-48.500,0.05030,-13.300,0.000,0.050
400,-53.500,0.04267,-20.000,0.000,0.050
450,-49.700,0.02687,-17.800,0.000,0.050
500,-49.300,0.03544,-20.000,0.000,0.050
550,-47.600,0.02855,-6.400,0.000,0.050
600,-5.300,0.01128,-13.200,0.000,0.050
650,-46.100,0.00992,-6.400,0.000,0.050
700,-40.000,0.01647,-7.600,0.000,0.050
750,-37.800,0.00244,-17.800,0.000,0.050
800,-39.100,0.00837,-6.400,0.000,0.050
850,-46.900,0.00355,-5.300,0.000,0.050
900,-41.200,0.00318,-14.400,0.000,0.050
950,-43.800,0.00363,-10.900,0.000,0.050
1000,-41.100,0.00485,-6.400,0.000,0.050
1050,-43.000,0.01585,-15.500,0.000,0.050
1100,-38.000,0.00512,-5.300,0.000,0.050
1150,-43.400,0.00380,-6.400,0.000,0.050
1200,-48.700,0.02738,-14.400,0.000,0.050
1250,-42.500,0.01415,-7.500,0.000,0.050
1300,-38.900,0.00694,-7.500,0.000,0.050
1350,-46.400,0.00990,-7.500,0.000,0.050
1400,-42.700,0.00495,-9.800,0.000,0.050
1450,-6.400,0.01937,-6.400,0.000,0.050
1500,-37.600,0.06920,-5.300,0.000,0.050
1550,65.000,0.06868,-11.000,0.000,0.050
1600,-47.400,0.06906,65.000,1.000,0.050
1650,-43.900,0.08631,65.000,1.000,0.050
1700,-43.600,0.11057,-16.700,0.000,0.050
1750,-48.300,0.15071,-16.700,0.000,0.050
1800,-47.700,0.18410,-16.700,0.000,0.050
1850,65.000,0.25819,-20.000,0.000,0.050
1900,64.900,0.32016,-20.000,0.000,0.050
1950,65.000,0.40492,65.000,1.000,0.050
2000,62.900,0.50878,-4.100,0.000,0.050
2050,-7.600,0.42270,-7.600,0.000,0.050
2100,60.000,0.41064,-7.600,0.000,0.050
2150,-9.900,0.42965,-12.100,0.000,0.050
2200,65.000,0.20665,-5.300,0.000,0.050
2250,65.000,0.26494,-5.300,0.000,0.050
2300,64.900,0.23653,65.000,1.000,0.050
2350,64.800,0.32280,-20.000,0.000,0.050
2400,-42.900,0.30987,-14.400,0.000,0.050
2450,65.000,0.23545,65.000,1.000,0.050
2500,63.900,0.36771,65.000,1.000,0.050
2550,65.000,0.15033,65.000,1.000,0.050
2600,65.000,0.35592,65.000,1.000,0.050
2650,65.000,0.31876,65.000,1.000,0.050
2700,65.000,0.20604,-14.400,0.000,0.050
2750,64.800,0.24598,65.000,1.000,0.050
2800,64.800,0.30999,65.000,1.000,0.050
2850,64.600,0.18842,65.000,1.000,0.050
2900,65.000,0.17350,65.000,1.000,0.050
2950,65.000,0.16222,65.000,1.000,0.050
3000,-43.400,0.18013,65.000,1.000,0.050
